0	0.1	0	0	0
0.001	0.0996897	0.117822	-0.619436	235.097
0.002	0.0987654	0.468283	-1.22593	464.468
0.003	0.0972464	1.04325	-1.80684	683.327
0.004	0.0951643	1.82991	-2.35008	887.121
0.005	0.0925626	2.81105	-2.8444	1071.62
0.006	0.0894953	3.96544	-3.27959	1233.02
0.007	0.0860261	5.26827	-3.64669	1367.99
0.008	0.0822271	6.69167	-3.9382	1473.77
0.009	0.078177	8.20535	-4.14822	1548.22
0.01	0.0739593	9.77716	-4.27257	1589.86
0.011	0.0696612	11.3738	-4.30885	1597.89
0.012	0.0653712	12.9617	-4.25653	1572.23
0.013	0.0611773	14.5073	-4.11694	1513.48
0.014	0.0571654	15.978	-3.8932	1422.97
0.015	0.0534174	17.3432	-3.59022	1302.65
0.016	0.0500092	18.5743	-3.21453	1155.12
0.017	0.0470099	19.6454	-2.77417	983.518
0.018	0.0444794	20.5345	-2.27851	791.497
0.019	0.0424678	21.223	-1.73808	583.119
0.02	0.0410144	21.6967	-1.16428	362.78
0.021	0.0401464	21.9461	-0.569209	135.116
0.022	0.0398789	21.9661	0.0346268	-95.0962
0.023	0.0402143	21.7566	0.634568	-323.036
0.024	0.0411425	21.3224	1.21807	-543.945
0.025	0.0426409	20.6726	1.77295	-753.219
0.026	0.044675	19.8213	2.28768	-946.513
0.027	0.0471993	18.7863	2.75157	-1119.82
0.028	0.050158	17.5895	3.15504	-1269.58
0.029	0.0534864	16.256	3.48977	-1392.7
0.03	0.0571123	14.8138	3.74894	-1486.68
0.031	0.0609573	13.293	3.92729	-1549.62
0.032	0.0649387	11.7254	4.02128	-1580.29
0.033	0.0689711	10.1434	4.02914	-1578.13
0.034	0.0729683	8.58003	3.9509	-1543.25
0.035	0.0768448	7.06757	3.7884	-1476.47
0.036	0.0805181	5.63725	3.54523	-1379.27
0.037	0.0839101	4.31849	3.22666	-1253.75
0.038	0.0869486	3.1383	2.83954	-1102.61
0.039	0.089569	2.12075	2.3921	-929.069
0.04	0.0917158	1.28642	1.89385	-736.816
0.041	0.0933433	0.652011	1.35532	-529.917
0.042	0.0944168	0.230016	0.787867	-312.737
0.043	0.0949133	0.0284447	0.203413	-89.8443
0.044	0.094822	0.050675	-0.385783	134.085
0.045	0.0941443	0.295397	-0.967398	354.363
